study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Awada2005	SOF100_D1	0	NA	day	oral	single dose	dosing	NR	sorafenib	100.0	mg	NA
Awada2005	SOF200_D1	0	NA	day	oral	single dose	dosing	NR	sorafenib	100.0	mg	NA
Awada2005	SOF300_D1	0	NA	day	oral	single dose	dosing	NR	sorafenib	200.0	mg	NA
Awada2005	SOF400_D1	0	NA	day	oral	single dose	dosing	NR	sorafenib	200.0	mg	NA
Awada2005	SOF600_D1	0	NA	day	oral	single dose	dosing	NR	sorafenib	300.0	mg	NA
Awada2005	SOF800_D1	0	NA	day	oral	single dose	dosing	NR	sorafenib	300.0	mg	NA
Awada2005	SOF100_D7	S0T1R7	NA	day	oral	multiple dose	dosing	NR	sorafenib	100.0	mg	NA
Awada2005	SOF200_D7	S0T1R7	NA	day	oral	multiple dose	dosing	NR	sorafenib	100.0	mg	NA
Awada2005	SOF300_D7	S0T1R7	NA	day	oral	multiple dose	dosing	NR	sorafenib	200.0	mg	NA
Awada2005	SOF400_D7	S0T1R7	NA	day	oral	multiple dose	dosing	NR	sorafenib	200.0	mg	NA
Awada2005	SOF600_D7	S0T1R7	NA	day	oral	multiple dose	dosing	NR	sorafenib	300.0	mg	NA
Awada2005	SOF800_D7	S0T1R7	NA	day	oral	multiple dose	dosing	NR	sorafenib	300.0	mg	NA
Awada2005	SOF100_D21	S0T1R21	NA	day	oral	multiple dose	dosing	NR	sorafenib	100.0	mg	NA
Awada2005	SOF200_D21	S0T1R21	NA	day	oral	multiple dose	dosing	NR	sorafenib	100.0	mg	NA
Awada2005	SOF300_D21	S0T1R21	NA	day	oral	multiple dose	dosing	NR	sorafenib	200.0	mg	NA
Awada2005	SOF400_D21	S0T1R21	NA	day	oral	multiple dose	dosing	NR	sorafenib	200.0	mg	NA
Awada2005	SOF600_D21	S0T1R21	NA	day	oral	multiple dose	dosing	NR	sorafenib	300.0	mg	NA
Awada2005	SOF800_D21	S0T1R21	NA	day	oral	multiple dose	dosing	NR	sorafenib	300.0	mg	NA
