,author,keywords,pmc,pmid,prob,pubdate,title
0,F Huang; A Ajavon; E Huang; J Lettieri; R Liu; C Peña; M Berse,clinical research; clinical trials; thyroid cancer — clinical,,28741453,0.9987810254096985,2017,No Effect of Levothyroxine and Levothyroxine-Induced Subclinical Thyrotoxicosis on the Pharmacokinetics of Sorafenib in Healthy Male Subjects.
1,A Awada; A Hendlisz; O Christensen; CD Lathia; S Bartholomeus; F Lebrun; D de Valeriola; E Brendel; M Radtke; T Delaunoit; M Piccart-Gebhart; T Gil,,,22285181,0.9975842237472534,2012,"Phase I trial to investigate the safety, pharmacokinetics and efficacy of sorafenib combined with docetaxel in patients with advanced refractory solid tumours."
2,KGAM Hussaarts; L van Doorn; K Eechoute; J Damman; Q Fu; N van Doorn; ED Eisenmann; AA Gibson; E Oomen-de Hoop; P de Bruijn; SD Baker; SLW Koolen; T van Gelder; RWF van Leeuwen; RHJ Mathijssen; A Sparreboom; S Bins,OAT6; hand-foot skin reaction (HFSR); pharmacokinetics; probenecid; sorafenib,,32825359,0.9974600672721863,2020,Influence of Probenecid on the Pharmacokinetics and Pharmacodynamics of Sorafenib.
3,AA Adjei; DA Richards; A El-Khoueiry; F Braiteh; CH Becerra; JJ Stephenson; AF Hezel; M Sherman; L Garbo; DP Leffingwell; C Iverson; JN Miner; Z Shen; LT Yeh; S Gunawan; DM Wilson; KJ Manhard; P Rajagopalan; H Krissel; NJ Clendeninn,,,26644411,0.9974130988121033,2016,"A Phase I Study of the Safety, Pharmacokinetics, and Pharmacodynamics of Combination Therapy with Refametinib plus Sorafenib in Patients with Advanced Cancer."
4,H Akaza; T Tsukamoto; M Murai; K Nakajima; S Naito,,,17951335,0.9970589876174927,2007,"Phase II study to investigate the efficacy, safety, and pharmacokinetics of sorafenib in Japanese patients with advanced renal cell carcinoma."
5,DH Palmer; YT Ma; M Peck-Radosavljevic; P Ross; J Graham; L Fartoux; A Deptala; M Studeny; D Schnell; J Hocke; AB Loembé; T Meyer,,,29563636,0.997055172920227,2018,"A multicentre, open-label, phase-I/randomised phase-II study to evaluate safety, pharmacokinetics, and efficacy of nintedanib vs. sorafenib in European patients with advanced hepatocellular carcinoma."
6,AA Miller; DJ Murry; K Owzar; DR Hollis; EB Kennedy; G Abou-Alfa; A Desai; J Hwang; MA Villalona-Calero; EC Dees; LD Lewis; MG Fakih; MJ Edelman; F Millard; RC Frank; RJ Hohl; MJ Ratain,,,19255312,0.9969122409820557,2009,Phase I and pharmacokinetic study of sorafenib in patients with hepatic or renal dysfunction: CALGB 60301.
7,M Moore; HW Hirte; L Siu; A Oza; SJ Hotte; O Petrenciuc; F Cihon; C Lathia; B Schwartz,,,16006586,0.9968532919883728,2005,"Phase I study to determine the safety and pharmacokinetics of the novel Raf kinase and VEGFR inhibitor BAY 43-9006, administered for 28 days on/7 days off in patients with advanced, refractory solid tumors."
8,A Kim; C McCully; R Cruz; DE Cole; E Fox; FM Balis; BC Widemann,,,21072558,0.996711015701294,2012,The plasma and cerebrospinal fluid pharmacokinetics of sorafenib after intravenous administration in non-human primates.
9,RK Kelley; HS Nimeiri; PN Munster; MT Vergo; Y Huang; CM Li; J Hwang; MF Mulcahy; BM Yeh; P Kuhn; MS Luttgen; JA Grabowsky; L Stucky-Marshall; WM Korn; AH Ko; EK Bergsland; AB Benson; AP Venook,hepatocellular carcinoma; mTOR; pharmacokinetics; sorafenib; temsirolimus,,23519998,0.9966553449630737,2013,Temsirolimus combined with sorafenib in hepatocellular carcinoma: a phase I dose-finding trial with pharmacokinetic and biomarker correlates.
10,A Awada; A Hendlisz; T Gil; S Bartholomeus; M Mano; D de Valeriola; D Strumberg; E Brendel; CG Haase; B Schwartz; M Piccart,,,15870716,0.9964699745178223,2005,"Phase I safety and pharmacokinetics of BAY 43-9006 administered for 21 days on/7 days off in patients with advanced, refractory solid tumours."
11,T Okusaka; T Aramaki; Y Inaba; S Nakamura; M Morimoto; M Moriguchi; T Sato; Y Ikawa; M Ikeda; J Furuse,CYP2C19 polymorphisms; c-Met inhibitor; hepatocellular carcinoma; phase I study; tivantinib,,25711511,0.9960131645202637,2015,Phase I study of tivantinib in Japanese patients with advanced hepatocellular carcinoma: Distinctive pharmacokinetic profiles from other solid tumors.
12,X Wang; X Zhang; F Liu; M Wang; S Qin,CYP3A4; P-gp; herb–drug interaction,,28614959,0.9958048462867737,2017,The effects of triptolide on the pharmacokinetics of sorafenib in rats and its potential mechanism.
13,A Awada; T Gil; N Whenham; J Van Hamme; T Besse-Hammer; E Brendel; H Delesen; MC Joosten; CD Lathia; BA Loembé; M Piccart-Ghebart; A Hendlisz,,,21209247,0.9955254197120667,2011,Safety and pharmacokinetics of sorafenib combined with capecitabine in patients with advanced solid tumors: results of a phase 1 trial.
14,E Brendel; M Ludwig; C Lathia; C Robert; S Ropert; JC Soria; JP Armand,,,20821331,0.9952327609062195,2011,Pharmacokinetic results of a phase I trial of sorafenib in combination with dacarbazine in patients with advanced solid tumors.
15,JW Clark; JP Eder; D Ryan; C Lathia; HJ Lenz,,,16061863,0.9948444366455078,2005,"Safety and pharmacokinetics of the dual action Raf kinase and vascular endothelial growth factor receptor inhibitor, BAY 43-9006, in patients with advanced, refractory solid tumors."
16,KT Flaherty; C Lathia; RF Frye; L Schuchter; M Redlinger; M Rosen; PJ O'Dwyer,,,21350850,0.9947808384895325,2011,Interaction of sorafenib and cytochrome P450 isoenzymes in patients with advanced melanoma: a phase I/II pharmacokinetic interaction study.
17,BC Widemann; A Kim; E Fox; S Baruchel; PC Adamson; AM Ingle; J Glade Bender; M Burke; B Weigel; D Stempak; FM Balis; SM Blaney,,,22962440,0.9946625828742981,2012,A phase I trial and pharmacokinetic study of sorafenib in children with refractory solid tumors or leukemias: a Children's Oncology Group Phase I Consortium report.
