study	individual	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	value	mean	mean_pm	median	sd	min	max	se	unit	comments
Navid2013	SOF_ST1	NA	1.0	SOF90	tmax	sorafenib	plasma	LC MS/MS	NA	NA	4.5	4.33	NA	NA	1.29	NA	NA	NA	hr	solid tumour 
Navid2013	SOF_ST1	NA	1.0	SOF90	cmax	sorafenib	plasma	LC MS/MS	NA	NA	3.55	1.56	NA	NA	0.98	NA	NA	NA	mg/L	solid tumour 
Navid2013	SOF_ST1	NA	1.0	SOF90	auc_8h	sorafenib	plasma	LC MS/MS	8.0	hr	14.2	7.2	NA	NA	4.5	NA	NA	NA	mg*h/L	solid tumour 
Navid2013	SOF_ST1	NA	1.0	SOF90	auc_24h	sorafenib	plasma	LC MS/MS	24.0	hr	31.1	19.2	NA	NA	8.7	NA	NA	NA	mg*h/L	solid tumour 
Navid2013	SOF_ST1	NA	1.0	SOF90	Css_7	sorafenib	plasma	LC MS/MS	NA	NA	5.94	3.65	NA	NA	2.06	NA	NA	NA	mg/L	solid tumour 
Navid2013	SOF_ST1	NA	1.0	SOF90	Css_13	sorafenib	plasma	LC MS/MS	NA	NA	6.58	3.26	NA	NA	1.86	NA	NA	NA	mg/L	solid tumour 
Navid2013	SOF_ST1	NA	1.0	SOF90	Css_21	sorafenib	plasma	LC MS/MS	NA	NA	ND	2.52	NA	NA	1.70i'	NA	NA	NA	mg/L	solid tumour 
Navid2013	SOF_ST2	NA	1.0	SOF90	tmax	sorafenib	plasma	LC MS/MS	NA	NA	4.5	4.33	NA	NA	1.29	NA	NA	NA	hr	solid tumour 
Navid2013	SOF_ST2	NA	1.0	SOF90	cmax	sorafenib	plasma	LC MS/MS	NA	NA	1.87	1.56	NA	NA	0.98	NA	NA	NA	mg/L	solid tumour 
Navid2013	SOF_ST2	NA	1.0	SOF90	auc_8h	sorafenib	plasma	LC MS/MS	8.0	hr	10.7	7.2	NA	NA	4.5	NA	NA	NA	mg*h/L	solid tumour 
Navid2013	SOF_ST2	NA	1.0	SOF90	auc_24h	sorafenib	plasma	LC MS/MS	24.0	hr	28.8	19.2	NA	NA	8.7	NA	NA	NA	mg*h/L	solid tumour 
Navid2013	SOF_ST2	NA	1.0	SOF90	Css_7	sorafenib	plasma	LC MS/MS	NA	NA	3.18	3.65	NA	NA	2.06	NA	NA	NA	mg/L	solid tumour 
Navid2013	SOF_ST2	NA	1.0	SOF90	Css_13	sorafenib	plasma	LC MS/MS	NA	NA	2.53	3.26	NA	NA	1.86	NA	NA	NA	mg/L	solid tumour 
Navid2013	SOF_ST2	NA	1.0	SOF90	Css_21	sorafenib	plasma	LC MS/MS	NA	NA	ND	2.52	NA	NA	1.70i'	NA	NA	NA	mg/L	solid tumour 
Navid2013	SOF_ST3	NA	1.0	SOF90	tmax	sorafenib	plasma	LC MS/MS	NA	NA	2	4.33	NA	NA	1.29	NA	NA	NA	hr	solid tumour 
Navid2013	SOF_ST3	NA	1.0	SOF90	cmax	sorafenib	plasma	LC MS/MS	NA	NA	1.32	1.56	NA	NA	0.98	NA	NA	NA	mg/L	solid tumour 
Navid2013	SOF_ST3	NA	1.0	SOF90	auc_8h	sorafenib	plasma	LC MS/MS	NA	NA	6.1	7.2	NA	NA	4.5	NA	NA	NA	mg*h/L	solid tumour 
Navid2013	SOF_ST3	NA	1.0	SOF90	auc_24h	sorafenib	plasma	LC MS/MS	NA	NA	14	19.2	NA	NA	8.7	NA	NA	NA	mg*h/L	solid tumour 
Navid2013	SOF_ST3	NA	1.0	SOF90	Css_7	sorafenib	plasma	LC MS/MS	NA	NA	2.3	3.65	NA	NA	2.06	NA	NA	NA	mg/L	solid tumour 
Navid2013	SOF_ST3	NA	1.0	SOF90	Css_13	sorafenib	plasma	LC MS/MS	NA	NA	2.39	3.26	NA	NA	1.86	NA	NA	NA	mg/L	solid tumour 
Navid2013	SOF_ST3	NA	1.0	SOF90	Css_21	sorafenib	plasma	LC MS/MS	NA	NA	1.47	2.52	NA	NA	1.70i'	NA	NA	NA	mg/L	solid tumour 
Navid2013	SOF_ST4	NA	1.0	SOF90	tmax	sorafenib	plasma	LC MS/MS	NA	NA	6	4.33	NA	NA	1.29	NA	NA	NA	hr	solid tumour 
Navid2013	SOF_ST4	NA	1.0	SOF90	cmax	sorafenib	plasma	LC MS/MS	NA	NA	0.69	1.56	NA	NA	0.98	NA	NA	NA	mg/L	solid tumour 
Navid2013	SOF_ST4	NA	1.0	SOF90	auc_8h	sorafenib	plasma	LC MS/MS	NA	NA	2	7.2	NA	NA	4.5	NA	NA	NA	mg*h/L	solid tumour 
