study	individual	group	count	interventions	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	sd	unit	comments
Huang2017	NA	SOF400_P1	22.0	SOF400	concentration	sorafenib-M2	plasma	LC MS/MS	SOF400_m2	2.36521739130435	hour	50.2994011976048	262.275449101796	211.976047904191	ug/L	geometric mean and geometric SD
Huang2017	NA	SOF400_P1	22.0	SOF400	concentration	sorafenib-M2	plasma	LC MS/MS	SOF400_m2	4.03478260869565	hour	197.604790419162	697.005988023952	499.40119760479	ug/L	geometric mean and geometric SD
Huang2017	NA	SOF400_P1	22.0	SOF400	concentration	sorafenib-M2	plasma	LC MS/MS	SOF400_m2	4.7304347826087	hour	298.203592814371	1023.95209580838	725.748502994009	ug/L	geometric mean and geometric SD
Huang2017	NA	SOF400_P1	22.0	SOF400	concentration	sorafenib-M2	plasma	LC MS/MS	SOF400_m2	5.84347826086957	hour	370.059880239521	966.467065868264	596.407185628743	ug/L	geometric mean and geometric SD
Huang2017	NA	SOF400_P1	22.0	SOF400	concentration	sorafenib-M2	plasma	LC MS/MS	SOF400_m2	7.79130434782609	hour	194.011976047904	402.395209580838	208.383233532934	ug/L	geometric mean and geometric SD
Huang2017	NA	SOF400_P1	22.0	SOF400	concentration	sorafenib-M2	plasma	LC MS/MS	SOF400_m2	9.46086956521739	hour	208.383233532934	517.365269461078	308.982035928144	ug/L	geometric mean and geometric SD
Huang2017	NA	SOF400_P1	22.0	SOF400	concentration	sorafenib-M2	plasma	LC MS/MS	SOF400_m2	13.9130434782609	hour	287.425149700599	783.233532934132	495.808383233533	ug/L	geometric mean and geometric SD
Huang2017	NA	SOF400_P1	22.0	SOF400	concentration	sorafenib-M2	plasma	LC MS/MS	SOF400_m2	17.5304347826087	hour	222.754491017964	546.107784431138	323.353293413174	ug/L	geometric mean and geometric SD
Huang2017	NA	SOF400_P1	22.0	SOF400	concentration	sorafenib-M2	plasma	LC MS/MS	SOF400_m2	25.4608695652174	hour	201.197604790419	538.922155688623	337.724550898204	ug/L	geometric mean and geometric SD
Huang2017	NA	SOF400_P1	22.0	SOF400	concentration	sorafenib-M2	plasma	LC MS/MS	SOF400_m2	37.1478260869565	hour	150.898203592814	395.209580838323	244.311377245509	ug/L	geometric mean and geometric SD
