study	individual	group	count	interventions	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Mammatas2020	NA	SOF_1000	3.0	SOF1000	concentration	sorafenib	plasma	LC MS/MS	SOF_1000	0.18721761	hour	NA	50.95122	NA	1839.3457	NA	µg/L	week1
Mammatas2020	NA	SOF_1000	3.0	SOF1000	concentration	sorafenib	plasma	LC MS/MS	SOF_1000	2.2335606	hour	NA	1069.9756	NA	NA	NA	µg/L	week1
Mammatas2020	NA	SOF_1000	3.0	SOF1000	concentration	sorafenib	plasma	LC MS/MS	SOF_1000	4.1821423	hour	NA	1729.7084	NA	NA	NA	µg/L	week1
Mammatas2020	NA	SOF_1000	3.0	SOF1000	concentration	sorafenib	plasma	LC MS/MS	SOF_1000	5.9636755	hour	NA	3928.5103	NA	5620.104	NA	µg/L	week1
Mammatas2020	NA	SOF_1000	3.0	SOF1000	concentration	sorafenib	plasma	LC MS/MS	SOF_1000	8.307455	hour	NA	6791.982	NA	10817.819	NA	µg/L	week1
Mammatas2020	NA	SOF_1000	3.0	SOF1000	concentration	sorafenib	plasma	LC MS/MS	SOF_1000	9.10841	hour	NA	4122.441	NA	4891.6465	NA	µg/L	week1
Mammatas2020	NA	SOF_1000	3.0	SOF1000	concentration	sorafenib	plasma	LC MS/MS	SOF_1000	10.023142	hour	NA	3298.6636	NA	3939.01	NA	µg/L	week1
Mammatas2020	NA	SOF_1000	3.0	SOF1000	concentration	sorafenib	plasma	LC MS/MS	SOF_1000	11.2287855	hour	NA	3653.3474	NA	4704.43	NA	µg/L	week1
Mammatas2020	NA	SOF_1000	3.0	SOF1000	concentration	sorafenib	plasma	LC MS/MS	SOF_1000	12.4451065	hour	NA	4931.0776	NA	7418.998	NA	µg/L	week1
Mammatas2020	NA	SOF_1000	3.0	SOF1000	concentration	sorafenib	plasma	LC MS/MS	SOF_1000	14.51933	hour	NA	8462.182	NA	12334.836	NA	µg/L	week1
Mammatas2020	NA	SOF_1000	3.0	SOF1000	concentration	sorafenib	plasma	LC MS/MS	SOF_1000	20.22223	hour	NA	6082.878	NA	9107.926	NA	µg/L	week1
Mammatas2020	NA	SOF_1000	3.0	SOF1000	concentration	sorafenib	plasma	LC MS/MS	SOF_1000	68.127754	hour	NA	578.8954	NA	NA	NA	µg/L	week1
Mammatas2020	NA	SOF_2000	8.0	SOF2000	concentration	sorafenib	plasma	LC MS/MS	SOF_2000	0.09598165	hour	NA	51.93865	NA	NA	NA	µg/L	week1
Mammatas2020	NA	SOF_2000	8.0	SOF2000	concentration	sorafenib	plasma	LC MS/MS	SOF_2000	2.3265762	hour	NA	1120.9269	NA	NA	NA	µg/L	week1
Mammatas2020	NA	SOF_2000	8.0	SOF2000	concentration	sorafenib	plasma	LC MS/MS	SOF_2000	4.2076507	hour	NA	3934.764	NA	8652.558	NA	µg/L	week1
Mammatas2020	NA	SOF_2000	8.0	SOF2000	concentration	sorafenib	plasma	LC MS/MS	SOF_2000	5.6200876	hour	NA	6186.163	NA	9029.59	NA	µg/L	week1
Mammatas2020	NA	SOF_2000	8.0	SOF2000	concentration	sorafenib	plasma	LC MS/MS	SOF_2000	8.066967	hour	NA	9972.352	NA	15407.412	NA	µg/L	week1
Mammatas2020	NA	SOF_2000	8.0	SOF2000	concentration	sorafenib	plasma	LC MS/MS	SOF_2000	9.074121	hour	NA	9148.246	NA	12736.719	NA	µg/L	week1
Mammatas2020	NA	SOF_2000	8.0	SOF2000	concentration	sorafenib	plasma	LC MS/MS	SOF_2000	9.9936	hour	NA	8734.711	NA	12502.502	NA	µg/L	week1
Mammatas2020	NA	SOF_2000	8.0	SOF2000	concentration	sorafenib	plasma	LC MS/MS	SOF_2000	11.203396	hour	NA	9448.357	NA	15370.746	NA	µg/L	week1
Mammatas2020	NA	SOF_2000	8.0	SOF2000	concentration	sorafenib	plasma	LC MS/MS	SOF_2000	11.955233	hour	NA	10522.612	NA	17469.291	NA	µg/L	week1
Mammatas2020	NA	SOF_2000	8.0	SOF2000	concentration	sorafenib	plasma	LC MS/MS	SOF_2000	16.203695	hour	NA	10251.069	NA	15660.654	NA	µg/L	week1
Mammatas2020	NA	SOF_2000	8.0	SOF2000	concentration	sorafenib	plasma	LC MS/MS	SOF_2000	20.27562	hour	NA	10698.11	NA	15903.067	NA	µg/L	week1
Mammatas2020	NA	SOF_2000	8.0	SOF2000	concentration	sorafenib	plasma	LC MS/MS	SOF_2000	68.23322	hour	NA	1706.7343	NA	3860.674	NA	µg/L	week1
Mammatas2020	NA	SOF_2400	3.0	SOF2400	concentration	sorafenib	plasma	LC MS/MS	SOF_2400	2.1423247	hour	NA	1172.8655	NA	2197.8145	NA	µg/L	week1
