study	individual	group	count	interventions	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	mean_sd	comments	mean_unit
Huang2017		LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	2.36521739130435	hour	0.00010226226863161715	208.383233532934	0.0003920053630878652	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	3.89565217391304	hour	0.00037496165164926226	617.964071856287	0.0010907975320705832	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	4.7304347826087	hour	0.0005880080446317978	725.748502994012	0.0011334068106670918	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	6.12173913043478	hour	0.0007328795918599239	786.826347305389	0.0011334068106670894	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	7.9304347826087	hour	0.00036643979592996195	359.281437125748	0.0004857457760001802	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	9.73913043478261	hour	0.00042609278596507106	485.02994011976	0.0007243577361406214	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	13.7739130434783	hour	0.0005539206217545943	657.48502994012	0.0010055789748775685	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	17.8086956521739	hour	0.0004175709302457708	477.844311377246	0.000715835880421321	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	25.3217391304348	hour	0.0003834835073685649	416.766467065868	0.0006050517560704007	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	37.4260869565217	hour	0.0003238305173334534	348.502994011976	0.0005027894874387855	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	48.9739130434783	hour	0.0001874808258246316	183.233532934132	0.00024713381585974144	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	72.3478260869565	hour	0.00010226226863161715	114.97005988024	0.00017043711438602984	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	96.0	hour	6.817484575441152e-05	28.7425149700599	0.0	geometric mean and geometric SD	mole/meter^3
