study	individual	group	count	interventions	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	mean_sd	comments	mean_unit
Huang2017		LEV300_P1	25.0	SOF400, LEV300	concentration	sorafenib	plasma	LC MS/MS	LEV300_sor	2.94560669456067	hour	0.0009246999122327686	1125.36873156342	0.0014963538402755243	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	25.0	SOF400, LEV300	concentration	sorafenib	plasma	LC MS/MS	LEV300_sor	4.01673640167364	hour	0.0018934331536194764	2312.68436578171	0.0030819433652966477	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	25.0	SOF400, LEV300	concentration	sorafenib	plasma	LC MS/MS	LEV300_sor	5.22175732217573	hour	0.0025979664200825466	2694.69026548673	0.003199235684547421	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	25.0	SOF400, LEV300	concentration	sorafenib	plasma	LC MS/MS	LEV300_sor	6.2928870292887	hour	0.003280483021968628	2932.15339233038	0.00302758363594289	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	25.0	SOF400, LEV300	concentration	sorafenib	plasma	LC MS/MS	LEV300_sor	7.49790794979079	hour	0.001783349830734625	1321.53392330383	0.0010597224657888692	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	25.0	SOF400, LEV300	concentration	sorafenib	plasma	LC MS/MS	LEV300_sor	9.77405857740586	hour	0.002179649793120092	1941.00294985251	0.0019961126423988108	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	25.0	SOF400, LEV300	concentration	sorafenib	plasma	LC MS/MS	LEV300_sor	13.7907949790795	hour	0.0029942663824680193	2849.55752212389	0.0031361082569107785	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	25.0	SOF400, LEV300	concentration	sorafenib	plasma	LC MS/MS	LEV300_sor	17.1380753138075	hour	0.002201666457697073	1951.32743362832	0.001996307480138417	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	25.0	SOF400, LEV300	concentration	sorafenib	plasma	LC MS/MS	LEV300_sor	24.9037656903766	hour	0.002201666457697073	1786.13569321534	0.0016409234430729773	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	25.0	SOF400, LEV300	concentration	sorafenib	plasma	LC MS/MS	LEV300_sor	36.418410041841	hour	0.0018273831598885665	1528.02359882006	0.0014599191829667377	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	25.0	SOF400, LEV300	concentration	sorafenib	plasma	LC MS/MS	LEV300_sor	47.9330543933054	hour	0.0011888998871564152	939.52802359882	0.0008323468236532636	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	25.0	SOF400, LEV300	concentration	sorafenib	plasma	LC MS/MS	LEV300_sor	70.8284518828452	hour	0.000726549931040032	516.224188790561	0.000384025184789463	geometric mean and geometric SD	mole/meter^3
Huang2017		LEV300_P1	25.0	SOF400, LEV300	concentration	sorafenib	plasma	LC MS/MS	LEV300_sor	93.8577405857741	hour	0.0003742832978085024	247.787610619469	0.0001587927577896546	geometric mean and geometric SD	mole/meter^3
