study	individual	group	count	interventions	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	median	sd	min	max	se	unit	comments
Duran2007	NA	all 	17.0	SOF400	auc	sorafenib 	plasma	LC MS/MS	all 	NA	day	NA	49.5	NA	NA	NA	14.4	130.4	NA	ug*hr/mL	day-2
Duran2007	NA	all 	17.0	SOF400	cmax	sorafenib 	plasma	LC MS/MS	all 	NA	day	NA	6.6	NA	NA	NA	2.1	14.8	NA	ug/mL	day-2
Duran2007	NA	all 	17.0	SOF400	cmin	sorafenib 	plasma	LC MS/MS	all 	NA	day	NA	2.3	NA	NA	NA	0.7	5.8	NA	ug/mL	day-2
Duran2007	NA	all 	17.0	SOF400	tmax 	sorafenib 	plasma	LC MS/MS	all 	NA	day	NA	2.0	NA	NA	NA	0.0	12.0	NA	hr	day-2
Duran2007	NA	all 	15.0	SOF200	auc	sorafenib 	plasma	LC MS/MS	all 	NA	day	NA	36.8	NA	NA	NA	18.9	149.8	NA	ug*hr/mL	day-15
Duran2007	NA	all 	15.0	SOF200	cmax	sorafenib 	plasma	LC MS/MS	all 	NA	day	NA	5.1	NA	NA	NA	2.2	17.2	NA	ug/mL	day-15
Duran2007	NA	all 	15.0	SOF200	cmin	sorafenib 	plasma	LC MS/MS	all 	NA	day	NA	1.6	NA	NA	NA	0.6	7.7	NA	ug/mL	day-15
Duran2007	NA	all 	15.0	SOF200	tmax 	sorafenib 	plasma	LC MS/MS	all 	NA	day	NA	2.0	NA	NA	NA	0.0	12.0	NA	hr	day-15
Duran2007	NA	SOF_200_L2	10.0	SOF200	auc	sorafenib 	plasma	LC MS/MS	SOF_200_L2	NA	day	NA	30.3	NA	NA	NA	14.4	63.4	NA	ug*hr/mL	day-2
Duran2007	NA	SOF_200_L2	10.0	SOF200	cmax	sorafenib 	plasma	LC MS/MS	SOF_200_L2	NA	day	NA	4.0	NA	NA	NA	2.1	8.0	NA	ug/mL	day-2
Duran2007	NA	SOF_200_L2	10.0	SOF200	cmin	sorafenib 	plasma	LC MS/MS	SOF_200_L2	NA	day	NA	1.6	NA	NA	NA	0.7	4.3	NA	ug/mL	day-2
Duran2007	NA	SOF_200_L2	10.0	SOF200	tmax 	sorafenib 	plasma	LC MS/MS	SOF_200_L2	NA	day	NA	2.0	NA	NA	NA	0.0	12.0	NA	hr	day-2
Duran2007	NA	SOF_200_L2	10.0	SOF200	auc	sorafenib 	plasma	LC MS/MS	SOF_200_L2	NA	day	NA	30.2	NA	NA	NA	18.9	100.4	NA	ug*hr/mL	day-15
Duran2007	NA	SOF_200_L2	10.0	SOF200	cmax	sorafenib 	plasma	LC MS/MS	SOF_200_L2	NA	day	NA	4.1	NA	NA	NA	2.2	9.9	NA	ug/mL	day-15
Duran2007	NA	SOF_200_L2	10.0	SOF200	cmin	sorafenib 	plasma	LC MS/MS	SOF_200_L2	NA	day	NA	1.5	NA	NA	NA	0.6	6.2	NA	ug/mL	day-15
Duran2007	NA	SOF_200_L2	10.0	SOF200	tmax 	sorafenib 	plasma	LC MS/MS	SOF_200_L2	NA	day	NA	2.0	NA	NA	NA	0.0	12.0	NA	hr	day-15
Duran2007	NA	SOF_400_L2	7.0	SOF400	auc	sorafenib 	plasma	LC MS/MS	SOF_400_L2	NA	day	NA	89.2	NA	NA	NA	50.8	130.4	NA	ug*hr/mL	day-2
Duran2007	NA	SOF_400_L2	7.0	SOF400	cmax	sorafenib 	plasma	LC MS/MS	SOF_400_L2	NA	day	NA	10.9	NA	NA	NA	6.6	14.8	NA	ug/mL	day-2
Duran2007	NA	SOF_400_L2	7.0	SOF400	cmin	sorafenib 	plasma	LC MS/MS	SOF_400_L2	NA	day	NA	4.6	NA	NA	NA	3.3	5.8	NA	ug/mL	day-2
Duran2007	NA	SOF_400_L2	7.0	SOF400	tmax 	sorafenib 	plasma	LC MS/MS	SOF_400_L2	NA	day	NA	4.0	NA	NA	NA	0.0	12.0	NA	hr	day-2
Duran2007	NA	SOF_400_L2	5.0	SOF400	auc	sorafenib 	plasma	LC MS/MS	SOF_400_L2	NA	day	NA	86.9	NA	NA	NA	61.8	149.8	NA	ug*h/mL	day-15
