study	individual	group	count	interventions	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Ferrario2016	SOF20_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF20_sor	0.0571428571428571	hour	1888.02083333333	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF20_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF20_sor	0.514285714285714	hour	2242.63076241135	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF20_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF20_sor	1.02857142857143	hour	2668.16267730496	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF20_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF20_sor	2.57142857142857	hour	4104.33289007092	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF20_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF20_sor	5.08571428571429	hour	1976.67331560284	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF20_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF20_sor	7.0	hour	1958.94281914894	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF22_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF22_sor	0.0285714285714286	hour	1161.0704787234	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF22_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF22_sor	0.514285714285714	hour	983.765514184397	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF22_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF22_sor	1.02857142857143	hour	930.574024822695	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF22_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF22_sor	2.54285714285714	hour	1036.9570035461	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF22_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF22_sor	5.02857142857143	hour	806.46054964539	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF22_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF22_sor	7.02857142857143	hour	1107.8789893617	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF23_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF23_sor	0.0285714285714286	hour	966.035017730497	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF23_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF23_sor	0.542857142857143	hour	1178.80097517731	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF23_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF23_sor	1.0	hour	1515.68040780142	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF23_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF23_sor	2.6	hour	1994.40381205674	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF23_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF23_sor	5.0	hour	2065.32579787234	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF23_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF23_sor	7.02857142857143	hour	895.113031914894	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF27_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF27_sor	0.0571428571428571	hour	2579.51019503546	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF27_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF27_sor	0.514285714285714	hour	1391.56693262411	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF27_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF27_sor	1.02857142857143	hour	1249.72296099291	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF27_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF27_sor	2.6	hour	1710.71586879433	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF27_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF27_sor	5.02857142857143	hour	4051.14140070922	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF27_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF27_sor	7.11428571428571	hour	4246.17686170213	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF32_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF32_sor	0.0285714285714286	hour	930.574024822695	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF32_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF32_sor	0.542857142857143	hour	859.652039007092	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF32_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF32_sor	1.02857142857143	hour	1072.4179964539	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF32_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF32_sor	2.6	hour	1746.17686170213	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF32_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF32_sor	5.05714285714286	hour	1905.75132978723	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF32_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF32_sor	7.02857142857143	hour	1320.64494680851	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF33_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF33_sor	0.0571428571428571	hour	1267.45345744681	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF33_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF33_sor	0.514285714285714	hour	1214.26196808511	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF33_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF33_sor	1.02857142857143	hour	1338.37544326241	NA	NA	NA	NA	ng/mL	SOF200,VIN30
Ferrario2016	SOF33_sor	NA	1.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF33_sor	2.51428571428571	hour	1125.6094858156	NA	NA	NA	NA	ng/mL	SOF200,VIN30
